Starting verification of 84 queries...
[s1q1] CROSS_MATCH(ch05p1) | conf=0.5479 | topic=math_vol9_ch05p1_monotonic_sequence_theorem | q=What is a convergent sequence?
[s1q2] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_sequence_function_limit | q=How do you find the limit of a sequence defined by a functio
[s1q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_sequence_limit_laws | q=What are the limit laws for sequences?
[s1q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_monotonic_sequence_theorem | q=What is the Monotonic Sequence Theorem?
[s1q5] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_recursive_sequence_limit | q=How do you find limits of recursively defined sequences?
[s1q6] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_important_limits | q=What are important limits of sequences like n^(1/n)?
[s1q7] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_monotonic_test | q=How do you determine if a sequence is monotonic?
[s1q8] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_squeeze_theorem_sequences | q=What is the Squeeze Theorem for sequences?
[s2q1] CROSS_MATCH(ch05p1) | conf=1 | topic=math_vol9_ch05p1_p_series | q=What is an infinite series and when does it converge?
[s2q2] DIRECT_HIT | conf=0.8999 | topic=math_vol9_ch05p1_nth_term_test | q=What is the nth Term Test for divergence?
[s2q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_geometric_series | q=What is a geometric series and when does it converge?
[s2q4] OTHER_VOL(math_vol1_vol1_decimal_to_fraction) | conf=1 | topic=math_vol1_vol1_decimal_to_fraction | q=How do you convert a repeating decimal to a fraction using s
[s2q5] DIRECT_HIT | conf=0.5713 | topic=math_vol9_ch05p1_telescoping_series | q=What is a telescoping series?
[s2q6] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_series_properties | q=What are the properties of convergent series?
[s3q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_integral_test | q=What is the Integral Test for series convergence?
[s3q2] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_p_series | q=What is a p-series and when does it converge?
[s3q3] CROSS_MATCH(ch05p1) | conf=0.8534 | topic=math_vol9_ch05p1_p_series | q=Why does the harmonic series diverge?
[s3q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_integral_test_remainder | q=How do you estimate the sum of a series using integral test 
[s3q5] DIRECT_HIT | conf=0.8761 | topic=math_vol9_ch05p1_logarithmic_series_test | q=How do you test series with logarithms using the integral te
[s4q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_comparison_test | q=What is the Direct Comparison Test?
[s4q2] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_limit_comparison_test | q=What is the Limit Comparison Test?
[s4q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_choosing_comparison | q=How do you choose an appropriate comparison series?
[s4q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_comparison_remainder | q=How do you estimate sums using the Comparison Test?
[s4q5] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_factorial_exponential_comparison | q=How do you handle factorials and exponentials in comparison 
[s5q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_alternating_series | q=What is an alternating series?
[s5q2] CROSS_MATCH(ch05p1) | conf=1 | topic=math_vol9_ch05p1_alternating_series | q=What is the Alternating Series Test?
[s5q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_alternating_estimation | q=How do you estimate the sum of an alternating series?
[s5q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_absolute_conditional | q=What is the difference between absolute and conditional conv
[s5q5] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_rearrangement_theorem | q=What is the Rearrangement Theorem for absolutely convergent 
[s5q6] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_absolute_convergence_test | q=How do you test for absolute convergence?
[s6q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_ratio_test | q=What is the Ratio Test?
[s6q2] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_root_test | q=What is the Root Test?
[s6q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_ratio_vs_root | q=When should you use Ratio Test vs Root Test?
[s6q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_factorial_ratio_test | q=How do you handle series with factorials in the Ratio Test?
[s6q5] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_mixed_terms_ratio | q=How do you test series with mixed terms powers and factorial
[s7q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_strategy | q=What is a strategy for choosing which convergence test to us
[s7q2] DIRECT_HIT | conf=0.927 | topic=math_vol9_ch05p1_test_summary | q=What is a summary of all convergence tests?
[s7q3] DIRECT_HIT | conf=0.9808 | topic=math_vol9_ch05p1_classification | q=How do you classify a series as absolutely conditionally or 
[s8q1] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_power_series | q=What is a power series?
[s8q2] DIRECT_HIT | conf=0.9902 | topic=math_vol9_ch05p1_radius_interval | q=How do you find the radius and interval of convergence?
[s8q3] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_radius_formula | q=How do you find the radius of convergence using the Ratio Te
[s8q4] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_radius_root | q=How do you find the radius of convergence using the Root Tes
[s8q5] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_power_series_operations | q=What are the operations on power series?
[s8q6] DIRECT_HIT | conf=1 | topic=math_vol9_ch05p1_function_as_power_series | q=How do you represent a function as a power series?
